trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1127,False,"{'a': 0.005, 'e': 0.003570677233218253}",20,10,16.516994138244854,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1128,False,"{'a': 0.005, 'e': 0.003552868406221362}",25,12,21.041067550191634,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.005, 'e': 0.0035351484011196684}",25,8,28.116785804326387,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.005, 'e': 0.0035175167749121284}",25,16,17.846591574664213,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1131,False,"{'a': 0.005, 'e': 0.0034999730868071656}",20,0,27.817612170577096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1132,False,"{'a': 0.005, 'e': 0.003482516898211663}",25,14,19.633035933988594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1133,False,"{'a': 0.005, 'e': 0.003465147772719998}",30,21,15.426005745203838,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.005, 'e': 0.0034478652761031265}",25,16,16.51727886793642,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.005, 'e': 0.0034306689762977345}",30,21,14.150391148337755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.005, 'e': 0.0034135584433954303}",20,10,20.939211734324502,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.005, 'e': 0.003396533249631998}",30,4,43.62233951742288,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.005, 'e': 0.0033795929693767124}",30,10,34.757832870890915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.005, 'e': 0.003362737179121682}",25,2,30.6525712073408,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1140,False,"{'a': 0.005, 'e': 0.003345965457471272}",30,20,16.82149159410932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.005, 'e': 0.0033292773851315684}",20,5,25.67016597979894,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1142,False,"{'a': 0.005, 'e': 0.0033126725448998926}",20,3,28.493505599236247,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1143,False,"{'a': 0.005, 'e': 0.003296150521654375}",20,0,26.413885671520546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1144,False,"{'a': 0.005, 'e': 0.003279710902343573}",25,18,12.075040393736437,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.005, 'e': 0.0032633532759761452}",20,13,14.570348222955465,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1146,False,"{'a': 0.005, 'e': 0.0032470772336105863}",30,9,33.08543747290293,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1147,False,"{'a': 0.005, 'e': 0.003230882368344986}",20,2,26.12524505415105,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1148,False,"{'a': 0.005, 'e': 0.00321476827530687}",20,9,17.985743439970953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.005, 'e': 0.0031987345516430728}",30,17,21.307836685900593,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1150,False,"{'a': 0.005, 'e': 0.003182780796509667}",25,15,19.42128318395924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1151,False,"{'a': 0.005, 'e': 0.0031669066110619442}",30,24,8.906009637683304,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1152,False,"{'a': 0.005, 'e': 0.0031511115984444414}",20,14,10.943554505586217,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1153,False,"{'a': 0.005, 'e': 0.0031353953637810197}",20,9,17.339807851319218,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1154,False,"{'a': 0.005, 'e': 0.003119757514164992}",30,8,37.7485792192799,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1155,False,"{'a': 0.005, 'e': 0.0031041976586493087}",30,2,39.5849966774805,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
1156,False,"{'a': 0.005, 'e': 0.0030887154082367687}",30,3,41.00480336870278,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1157,False,"{'a': 0.005, 'e': 0.0030733103758703055}",20,4,24.447210326008754,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1158,False,"{'a': 0.005, 'e': 0.0030579821764233073}",20,12,17.139685476355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1159,False,"{'a': 0.005, 'e': 0.0030427304266899898}",30,13,31.870150817648195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1160,False,"{'a': 0.005, 'e': 0.0030275547453758153}",30,6,34.40280069605316,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1161,False,"{'a': 0.005, 'e': 0.0030124547530879604}",20,0,31.098082540917787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1162,False,"{'a': 0.005, 'e': 0.0029974300723258286}",25,10,26.53523950514488,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1163,False,"{'a': 0.005, 'e': 0.002982480327471624}",30,15,23.312423280645206,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1164,False,"{'a': 0.005, 'e': 0.002967605144780944}",20,6,22.78632895381453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1165,False,"{'a': 0.005, 'e': 0.0029528041523734466}",20,7,21.48354085581319,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1166,False,"{'a': 0.005, 'e': 0.0029380769802235503}",20,13,12.636810155344845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1167,False,"{'a': 0.005, 'e': 0.0029234232601511845}",30,17,24.867255139867645,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1168,False,"{'a': 0.005, 'e': 0.002908842625812584}",30,3,52.65318479121596,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1169,False,"{'a': 0.005, 'e': 0.0028943347126911315}",20,6,19.954000416782947,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1170,False,"{'a': 0.005, 'e': 0.0028798991580882404}",30,9,34.93498549968415,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1171,False,"{'a': 0.005, 'e': 0.002865535601114299}",25,0,35.45619535672608,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1172,False,"{'a': 0.005, 'e': 0.0028512436826796323}",25,0,34.04042660904594,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1173,False,"{'a': 0.005, 'e': 0.0028370230454855348}",20,0,34.17421551418213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1174,False,"{'a': 0.005, 'e': 0.0028228733340153363}",30,16,19.112115446963653,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1175,False,"{'a': 0.005, 'e': 0.0028087941945255128}",20,1,28.517336520720185,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1176,False,"{'a': 0.005, 'e': 0.0027947852750368437}",30,12,33.83687839817108,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1177,False,"{'a': 0.005, 'e': 0.0027808462253256128}",20,6,25.605309772258508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1178,False,"{'a': 0.005, 'e': 0.002766976696914851}",20,15,8.391309013696834,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1179,False,"{'a': 0.005, 'e': 0.0027531763430656228}",20,0,28.010028913041683,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1180,False,"{'a': 0.005, 'e': 0.0027394448187683684}",25,20,9.523108115655228,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1181,False,"{'a': 0.005, 'e': 0.002725781780734263}",30,18,20.73972358580747,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1182,False,"{'a': 0.005, 'e': 0.0027121868873866434}",20,11,16.113304969847455,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1183,False,"{'a': 0.005, 'e': 0.0026986597988524685}",20,4,19.84662947746593,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1184,False,"{'a': 0.005, 'e': 0.0026852001769538205}",30,13,27.788020811985238,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1185,False,"{'a': 0.005, 'e': 0.0026718076851994506}",25,9,25.16682852504339,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1186,False,"{'a': 0.005, 'e': 0.002658481988776367}",20,16,8.346190205085941,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1187,False,"{'a': 0.005, 'e': 0.0026452227545414636}",30,8,33.871609610688665,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1188,False,"{'a': 0.005, 'e': 0.0026320296510131984}",20,6,27.231544458008063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1189,False,"{'a': 0.005, 'e': 0.002618902348363293}",25,13,23.5270108813022,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1190,False,"{'a': 0.005, 'e': 0.0026058405184084983}",25,11,22.449689508040976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1191,False,"{'a': 0.005, 'e': 0.0025928438346023847}",25,18,13.4460499254773,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1192,False,"{'a': 0.005, 'e': 0.00257991197202718}",20,13,13.52902173827177,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1193,False,"{'a': 0.005, 'e': 0.0025670446073856466}",25,13,20.057310448887154,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1194,False,"{'a': 0.005, 'e': 0.0025542414189929983}",25,3,28.888643031348032,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1195,False,"{'a': 0.005, 'e': 0.002541502086768856}",25,11,22.56013905410359,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1196,False,"{'a': 0.005, 'e': 0.0025288262922292556}",30,15,23.889894467060884,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1197,False,"{'a': 0.005, 'e': 0.0025162137184786704}",20,9,21.811753311579956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1198,False,"{'a': 0.005, 'e': 0.0025036640502021}",25,0,31.34752943956737,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1199,False,"{'a': 0.005, 'e': 0.002491176973657184}",25,13,19.675213462082173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1200,False,"{'a': 0.005, 'e': 0.0024787521766663585}",30,20,17.13413079769989,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1201,False,"{'a': 0.005, 'e': 0.002466389348609051}",20,0,26.51623279080258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1202,False,"{'a': 0.005, 'e': 0.002454088180413917}",25,20,9.190619202723552,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1203,False,"{'a': 0.005, 'e': 0.0024418483645511084}",25,10,24.4939889620507,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1204,False,"{'a': 0.005, 'e': 0.0024296695950245953}",20,4,22.31735506575792,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1205,False,"{'a': 0.005, 'e': 0.0024175515673645035}",25,8,-18.663908400577206,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1206,False,"{'a': 0.005, 'e': 0.0024054939786195095}",25,19,11.512245664534959,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1207,False,"{'a': 0.005, 'e': 0.0023934965273492677}",20,16,7.51309457638699,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1208,False,"{'a': 0.005, 'e': 0.0023815589136168707}",25,4,32.25416893221471,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1209,False,"{'a': 0.005, 'e': 0.002369680838981354}",20,5,22.12432753019798,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1210,False,"{'a': 0.005, 'e': 0.002357862006490233}",35,18,30.258837876828327,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1211,False,"{'a': 0.005, 'e': 0.002346102120672079}",25,1,-11.101066828016886,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
1212,False,"{'a': 0.005, 'e': 0.002334400887529133}",20,0,28.322033473183467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1213,False,"{'a': 0.005, 'e': 0.002322758014529961}",20,7,25.115767517265663,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1214,False,"{'a': 0.005, 'e': 0.002311173210602129}",25,16,15.611233451209799,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1215,False,"{'a': 0.005, 'e': 0.002299646186124936}",30,0,35.562215147173454,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1216,False,"{'a': 0.005, 'e': 0.0022881766529221693}",20,7,19.5918180750892,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1217,False,"{'a': 0.005, 'e': 0.0022767643242549017}",25,20,7.825766066924188,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1218,False,"{'a': 0.005, 'e': 0.002265408914814322}",35,24,17.460991767289457,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1219,False,"{'a': 0.005, 'e': 0.002254110140714603}",25,3,32.89833886502093,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1220,False,"{'a': 0.005, 'e': 0.002242867719485801}",20,15,7.5981683567528755,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1221,False,"{'a': 0.005, 'e': 0.002231681370066805}",35,13,35.26631663895444,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1222,False,"{'a': 0.005, 'e': 0.002220550812798294}",20,12,13.914985086660485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1223,False,"{'a': 0.005, 'e': 0.002209475769415756}",30,0,42.03464479074998,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1224,False,"{'a': 0.005, 'e': 0.0021984559630425313}",30,20,16.863449727348115,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1225,False,"{'a': 0.005, 'e': 0.002187491118182885}",35,20,26.198803217927125,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1226,False,"{'a': 0.005, 'e': 0.0021765809607151255}",30,21,17.160082962269883,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1227,False,"{'a': 0.005, 'e': 0.0021657252178847474}",30,0,41.867659701581914,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1228,False,"{'a': 0.005, 'e': 0.002154923618297613}",25,15,16.563740210518887,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1229,False,"{'a': 0.005, 'e': 0.002144175891913174}",20,13,12.65183150868156,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1230,False,"{'a': 0.005, 'e': 0.002133481770037708}",30,0,46.64980960917631,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1231,False,"{'a': 0.005, 'e': 0.002122840985317612}",25,8,26.8411858542116,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1232,False,"{'a': 0.005, 'e': 0.002112253271732714}",20,14,11.990974081918083,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1233,False,"{'a': 0.005, 'e': 0.0021017183645896226}",25,0,38.268514342301806,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1234,False,"{'a': 0.005, 'e': 0.0020912360005151103}",20,13,11.332385439212848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1235,False,"{'a': 0.005, 'e': 0.0020808059174495293}",25,9,26.08827063903152,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1236,False,"{'a': 0.005, 'e': 0.0020704278546402606}",25,3,34.25609063340003,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1237,False,"{'a': 0.005, 'e': 0.0020601015526351906}",20,5,25.8966781100803,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1238,False,"{'a': 0.005, 'e': 0.002049826753276235}",35,15,31.968448835845408,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1239,False,"{'a': 0.005, 'e': 0.002039603199692874}",20,1,31.197144380425904,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1240,False,"{'a': 0.005, 'e': 0.002029430636295734}",20,9,15.857353030110353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1241,False,"{'a': 0.005, 'e': 0.0020193088087702015}",30,24,7.987138003316451,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1242,False,"{'a': 0.005, 'e': 0.0020092374640700602}",25,10,24.570634616088316,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1243,False,"{'a': 0.005, 'e': 0.0019992163504111687}",25,9,19.60102035390257,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1244,False,"{'a': 0.005, 'e': 0.0019892452172651635}",20,1,24.23593285754062,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1245,False,"{'a': 0.005, 'e': 0.001979323815353195}",25,10,32.471982156023,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1246,False,"{'a': 0.005, 'e': 0.0019694518966397014}",20,0,30.691495006090214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1247,False,"{'a': 0.005, 'e': 0.0019596292143262}",30,8,29.85101495843773,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1248,False,"{'a': 0.005, 'e': 0.0019498555228451206}",20,11,16.157338494249924,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1249,False,"{'a': 0.005, 'e': 0.0019401305778536675}",20,0,24.085133426221734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1250,False,"{'a': 0.005, 'e': 0.0019304541362277093}",20,11,19.65788580348869,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1251,False,"{'a': 0.005, 'e': 0.0019208259560557013}",20,0,26.434950468550866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1252,False,"{'a': 0.005, 'e': 0.0019112457966326377}",20,13,13.384534431108364,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
